Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Population, total",SP.POP.TOTL,Kenya,KEN,50207107
"Population, total",SP.POP.TOTL,Kiribati,KIR,122084
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25931147
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51585058
"Population, total",SP.POP.TOTL,Kosovo,XKX,1797086
"Population, total",SP.POP.TOTL,Kuwait,KWT,4323515
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6444078.5
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7128045
"Population, total",SP.POP.TOTL,Latvia,LVA,1927174
"Population, total",SP.POP.TOTL,Lebanon,LBN,5984119
"Population, total",SP.POP.TOTL,Lesotho,LSO,2183603
"Population, total",SP.POP.TOTL,Liberia,LBR,4944726
"Population, total",SP.POP.TOTL,Libya,LBY,6849055
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38246
"Population, total",SP.POP.TOTL,Lithuania,LTU,2801543
"Population, total",SP.POP.TOTL,Luxembourg,LUX,607950
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,658900
"Population, total",SP.POP.TOTL,Madagascar,MDG,27494926
"Population, total",SP.POP.TOTL,Malawi,MWI,18528081
"Population, total",SP.POP.TOTL,Malaysia,MYS,32910967
"Population, total",SP.POP.TOTL,Maldives,MDV,473099
"Population, total",SP.POP.TOTL,Mali,MLI,20442030
"Population, total",SP.POP.TOTL,Malta,MLT,484630
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,45285
"Population, total",SP.POP.TOTL,Mauritania,MRT,4337685
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265577
"Population, total",SP.POP.TOTL,Mexico,MEX,124573711
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,109909
"Population, total",SP.POP.TOTL,Moldova,MDA,2707203
"Population, total",SP.POP.TOTL,Monaco,MCO,38154
"Population, total",SP.POP.TOTL,Mongolia,MNG,3208189
"Population, total",SP.POP.TOTL,Montenegro,MNE,622227
"Population, total",SP.POP.TOTL,Morocco,MAR,35839760
"Population, total",SP.POP.TOTL,Mozambique,MOZ,29018644
"Population, total",SP.POP.TOTL,Myanmar,MMR,52272247
"Population, total",SP.POP.TOTL,Namibia,NAM,2577327
"Population, total",SP.POP.TOTL,Nauru,NRU,11477
"Population, total",SP.POP.TOTL,Nepal,NPL,28079689
"Population, total",SP.POP.TOTL,Netherlands,NLD,17231624
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283541
"Population, total",SP.POP.TOTL,New Zealand,NZL,4900600
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6400080
"Population, total",SP.POP.TOTL,Niger,NER,22188069
"Population, total",SP.POP.TOTL,Nigeria,NGA,204938755
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1889051
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,49077
"Population, total",SP.POP.TOTL,Norway,NOR,5311916
"Population, total",SP.POP.TOTL,Oman,OMN,4597877
"Population, total",SP.POP.TOTL,Pakistan,PAK,226928892
"Population, total",SP.POP.TOTL,Palau,PLW,17814
"Population, total",SP.POP.TOTL,Panama,PAN,4167860
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9394513
"Population, total",SP.POP.TOTL,Paraguay,PRY,6427382
"Population, total",SP.POP.TOTL,Peru,PER,31897584
"Population, total",SP.POP.TOTL,Philippines,PHL,109465287
"Population, total",SP.POP.TOTL,Poland,POL,37974750
"Population, total",SP.POP.TOTL,Portugal,PRT,10283822
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193354
"Population, total",SP.POP.TOTL,Qatar,QAT,2580734
"Population, total",SP.POP.TOTL,Romania,ROU,19473970
"Population, total",SP.POP.TOTL,Russian Federation,RUS,145398106
"Population, total",SP.POP.TOTL,Rwanda,RWA,12487996
"Population, total",SP.POP.TOTL,Samoa,WSM,207582
"Population, total",SP.POP.TOTL,San Marino,SMR,34522
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,210187
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30196281
"Population, total",SP.POP.TOTL,Senegal,SEN,15914498
"Population, total",SP.POP.TOTL,Serbia,SRB,6982604
"Population, total",SP.POP.TOTL,Seychelles,SYC,96762
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7554563
"Population, total",SP.POP.TOTL,Singapore,SGP,5638676
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,39712
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5446771
"Population, total",SP.POP.TOTL,Slovenia,SVN,2073894
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,709101
"Population, total",SP.POP.TOTL,Somalia,SOM,15452487
"Population, total",SP.POP.TOTL,South Africa,ZAF,58613001
"Population, total",SP.POP.TOTL,South Sudan,SSD,10122977
"Population, total",SP.POP.TOTL,Spain,ESP,46797754
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21670000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47008
"Population, total",SP.POP.TOTL,St. Lucia,LCA,177017
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36012
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,104926
"Population, total",SP.POP.TOTL,Sudan,SDN,44230596
"Population, total",SP.POP.TOTL,Suriname,SUR,599513
"Population, total",SP.POP.TOTL,Sweden,SWE,10175214
"Population, total",SP.POP.TOTL,Switzerland,CHE,8514329
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19577845
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9307333
"Population, total",SP.POP.TOTL,Tanzania,TZA,57437145
"Population, total",SP.POP.TOTL,Thailand,THA,71376079
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1275959
"Population, total",SP.POP.TOTL,Togo,TGO,8258778
"Population, total",SP.POP.TOTL,Tonga,TON,105567
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1359193
"Population, total",SP.POP.TOTL,Tunisia,TUN,11765514
"Population, total",SP.POP.TOTL,Turkiye,TUR,81407204
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6655524
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,41559
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10751
"Population, total",SP.POP.TOTL,Uganda,UGA,41565831
"Population, total",SP.POP.TOTL,Ukraine,UKR,45208907
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9346701
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66460344
"Population, total",SP.POP.TOTL,United States,USA,326838199
"Population, total",SP.POP.TOTL,Uruguay,URY,3394534
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32373490
"Population, total",SP.POP.TOTL,Vanuatu,VUT,285259
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,29807592
"Population, total",SP.POP.TOTL,Viet Nam,VNM,96237319
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107001
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4569087
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,34085182
"Population, total",SP.POP.TOTL,Zambia,ZMB,17973569
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,15034452
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/15/2025,,,,
